Estimates of Stillbirths by Sustainable Development Goal region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Lower,11899,11635,11455,11263,11325,11346,11611,11898,12130,12083,11859,11645,11539,11432,11427,11206,10868,10499,10549,10517,11164,10874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Median,14686,14276,13964,13632,13640,13599,13831,14172,14382,14271,13961,13695,13525,13446,13423,13206,12858,12433,12551,12546,13195,12854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Upper,19034,18397,17929,17373,17259,17087,17249,17650,17787,17553,17170,16715,16525,16431,16385,16170,15790,15246,15521,15578,16299,15876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,Lower,1132819,1134305,1117463,1104964,1081138,1039489,1002991,973239,943061,918801,887521,860621,842418,823878,790693,751906,717022,674696,639841,602617,572466,550450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,Median,1338112,1320491,1289090,1253872,1218146,1165857,1117945,1080469,1040240,1004681,964659,927485,904475,884073,846691,805516,768176,724437,691158,655761,628738,611493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,Upper,1614281,1567823,1509194,1445928,1388665,1321965,1258406,1211563,1159237,1109919,1053748,1007059,976690,952930,911119,867986,831243,786035,754756,720940,699116,690932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and South-Eastern Asia,Lower,411798,394913,387059,378394,368109,355496,346950,340482,335810,327961,312174,299512,302745,280416,266835,245355,232788,220334,192238,178535,159594,147672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and South-Eastern Asia,Median,442907,426149,420494,411716,401819,388976,377563,368638,360593,349257,331729,317183,317469,294550,280590,258869,246204,233991,207256,194747,175882,163719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and South-Eastern Asia,Upper,485249,465983,463181,456243,445641,431300,417075,404887,391881,375477,356504,339640,336591,312956,298698,277115,265260,253520,228414,217510,199300,187567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Asia,Lower,250747,234929,228488,222152,214748,205872,199276,194683,192820,190061,177833,169082,178490,160636,151069,133040,124314,114764,87740,75572,59303,49708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Asia,Median,275836,260979,257998,252761,246292,236403,227339,219683,214305,206411,192642,180658,183886,165294,155327,137191,127763,118461,94546,84804,68275,58542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Asia,Upper,304618,289476,291265,288526,282905,272477,260157,248266,237305,223841,208607,193050,189789,170074,160217,141361,131808,122657,102143,95070,79059,69336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Eastern Asia,Lower,147139,146004,144446,142165,139680,137592,135659,134657,132087,129393,125699,122741,119990,116113,112499,108770,105434,102222,99054,96133,93501,90904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South-Eastern Asia,Median,167071,165170,162496,158955,155527,152573,150224,148955,146288,142846,139087,136525,133583,129256,125263,121678,118441,115530,112710,109943,107607,105177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
